######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
361425   7.636900E+01       9.013000E-01   1.312250E-01   Z                        Sherpa_CT10_Ztautau_Pt70_140_BFilter                               
361426   1.156900E+01       9.013000E-01   6.145030E-01   Z                        Sherpa_CT10_Ztautau_Pt140_280_CVetoBVeto                           
361427   1.164900E+01       9.013000E-01   2.417050E-01   Z                        Sherpa_CT10_Ztautau_Pt140_280_CFilterBVeto                         
361428   1.161200E+01       9.013000E-01   1.420800E-01   Z                        Sherpa_CT10_Ztautau_Pt140_280_BFilter                              
361429   8.697300E-01       9.013000E-01   5.810190E-01   Z                        Sherpa_CT10_Ztautau_Pt280_500_CVetoBVeto                           
361430   8.702000E-01       9.013000E-01   2.557750E-01   Z                        Sherpa_CT10_Ztautau_Pt280_500_CFilterBVeto                         
361431   8.751400E-01       9.013000E-01   1.588590E-01   Z                        Sherpa_CT10_Ztautau_Pt280_500_BFilter                              
361432   5.580600E-02       9.013000E-01   5.639030E-01   Z                        Sherpa_CT10_Ztautau_Pt500_700_CVetoBVeto                           
361433   5.507500E-02       9.013000E-01   2.704310E-01   Z                        Sherpa_CT10_Ztautau_Pt500_700_CFilterBVeto                         
361434   5.514700E-02       9.013000E-01   1.704540E-01   Z                        Sherpa_CT10_Ztautau_Pt500_700_BFilter                              
361435   9.514300E-03       9.013000E-01   5.601840E-01   Z                        Sherpa_CT10_Ztautau_Pt700_1000_CVetoBVeto                          
361436   9.874000E-03       9.013000E-01   2.984140E-01   Z                        Sherpa_CT10_Ztautau_Pt700_1000_CFilterBVeto                        
361437   1.047700E-02       9.013000E-01   1.801180E-01   Z                        Sherpa_CT10_Ztautau_Pt700_1000_BFilter                             
361438   1.354400E-03       9.013000E-01   5.636100E-01   Z                        Sherpa_CT10_Ztautau_Pt1000_2000_CVetoBVeto                         
361439   1.260900E-03       9.013000E-01   3.482770E-01   Z                        Sherpa_CT10_Ztautau_Pt1000_2000_CFilterBVeto                       
361440   1.354900E-03       9.013000E-01   1.684620E-01   Z                        Sherpa_CT10_Ztautau_Pt1000_2000_BFilter                            
361441   6.113300E-06       9.013000E-01   5.954060E-01   Z                        Sherpa_CT10_Ztautau_Pt2000_E_CMS_CVetoBVeto                        
361442   6.497900E-06       9.013000E-01   3.599530E-01   Z                        Sherpa_CT10_Ztautau_Pt2000_E_CMS_CFilterBVeto                      
361443   9.757200E-06       9.013000E-01   2.508460E-01   Z                        Sherpa_CT10_Ztautau_Pt2000_E_CMS_BFilter                           
# Get efficiencies from scripts
# https://docs.google.com/spreadsheets/d/18LmO6xhNT4Kr1OvrCEikC8Z3LkfbAJzoP2IFS1VB20U
